prefix,d0,d1,d2,d3,d4,d5,d6
01003,0.0,0.0,0.0,0.5,0.0,0.0,0.0
01004,0.0,0.0,0.3,0.0,0.0,0.0,0.0
01005,0.0,0.49,0.0,2.05,0.0,0.275,0.0
01006,0.0,2.55,0.0,3.3,0.0,0.0,0.0
01007,0.0,0.0,0.0,0.468,0.188,0.0,0.0
01008,2.25,0.0,0.0,0.601,0.0,0.0,0.0
01009,1.0,0.0,0.0,0.9,0.0,0.075,0.0
01011,0.7,0.25,0.0,0.0,1.383,0.0,0.0
01012,0.0,0.0,0.5,0.0,0.265,0.0,0.0
01013,0.2,0.0,0.0,0.0,0.0,0.0,0.15
01014,0.0,0.0,0.0,0.0,0.35,0.0,0.0
01015,0.0,1.813,0.0,0.0,0.0,0.0,0.8
01016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01017,17.6,0.0,13.35,0.0,0.0,0.2,0.0
01019,0.15,0.0,0.0,0.0,0.0,0.0,0.0
01020,13.2,1.11,0.0,0.0,0.9,60.0,0.0
01021,2.3,0.42,0.0,0.0,0.0,0.0,0.0
01022,0.0,0.0,0.0,0.0,0.34,0.0,0.0
01023,0.0,0.667,0.0,0.0,0.0,0.0,0.0
01024,0.0,0.922,0.0,0.0,0.0,0.0,0.0
01025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01026,0.4,0.48,0.0,0.0,0.0,0.0,0.0
01027,0.15,0.0,0.0,0.0,0.0,0.0,0.0
01030,0.0,0.0,2.425,0.0,0.125,0.0,0.3
01031,2.841,0.0,0.85,0.15,0.0,0.0,0.0
01032,0.0,0.0,0.0,0.0,0.0,22.8,0.0
01033,0.0,2.965,2.35,0.0,0.0,15.8,1.25
01035,1.1,0.0,2.7,0.0,0.0,11.434,0.0
01036,0.801,0.0,0.35,0.0,0.0,0.15,0.0
01037,0.0,15.25,4.338,0.0,0.0,0.0,0.0
01038,0.0,0.0,0.45,0.45,0.0,0.0,0.0
01041,14.15,0.0,0.0,0.0,0.0,0.0,1.825
01042,0.0,0.0,3.0,0.422,0.0,0.9,0.0
01043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01044,0.0,0.0,0.0,0.8,1.2,0.0,0.0
01045,0.0,0.0,2.0,0.0,0.0,0.0,0.0
01046,0.1,6.183,0.0,1.306,1.3,1.258,0.0
01047,0.55,1.75,1.383,0.0,36.934,0.0,0.0
01048,0.0,1.15,1.15,29.45,0.4,0.0,0.0
01049,0.0,0.0,0.342,0.0,0.0,0.0,1.5
01050,0.1,1.025,6.0,0.0,2.35,0.0,0.0
01102,0.0,0.0,0.0,0.0,0.0,0.0,0.25
01103,0.0,1.25,0.31,1.3,1.1,0.0,2.15
01105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01106,0.0,0.0,0.3,0.0,0.0,0.0,0.0
01107,0.0,0.0,0.0,0.55,0.645,0.0,0.0
01108,0.0,0.1,0.0,0.0,0.0,0.0,0.0
01120,0.0,0.0,2.467,0.36,0.0,0.0,1.825
01121,0.0,0.0,0.0,9.0,0.0,0.0,0.0
01122,0.0,3.35,0.0,0.0,4.181,0.0,1.3
01123,0.0,1.067,0.0,0.0,2.25,2.5,0.0
01124,0.0,0.0,0.15,0.0,0.0,0.0,0.0
01125,0.3,0.2,0.0,0.0,0.0,0.0,0.12
01127,0.0,0.0,4.65,0.0,0.0,0.0,0.0
01129,16.125,0.0,0.0,0.0,0.0,0.32,0.0
01131,3.717,0.0,0.0,0.514,0.0,5.1,0.0
01132,2.35,0.0,30.0,0.0,0.0,0.0,0.0
01134,0.0,0.0,0.1,0.18,0.0,0.0,0.248
01135,0.0,0.1,0.0,2.6,0.0,0.0,0.275
01136,0.0,0.0,0.1,0.0,0.0,0.0,0.0
01137,0.0,1.867,1.0,0.0,2.0,0.0,0.0
01138,0.0,0.0,0.45,1.867,0.0,0.0,7.15
01139,0.0,0.0,0.0,1.3,0.0,5.575,0.0
01140,0.0,1.413,5.95,0.416,0.0,0.0,0.0
01141,7.55,0.0,0.0,0.0,1.32,0.0,0.0
01144,0.0,0.2,0.0,0.0,0.0,0.0,0.0
01150,19.6,0.0,0.25,0.0,0.4,0.0,0.0
01151,3.45,0.0,1.45,1.0,0.6,8.267,1.0
01152,2.15,0.0,0.0,0.0,9.95,0.0,0.0
01153,0.0,0.35,3.72,8.0,4.45,0.0,0.0
01154,7.15,0.15,10.7,20.685,0.0,0.0,0.0
01155,0.0,9.4,21.617,0.0,0.0,0.0,0.0
01156,0.0,0.45,3.0,0.25,1.05,0.0,0.0
01201,0.0,0.133,0.0,0.0,5.335,0.0,0.25
01202,8.8,0.396,0.0,0.0,0.0,0.0,0.0
01203,1.05,0.4,0.0,0.15,0.0,0.2,0.0
01204,0.0,0.0,0.5,2.15,0.0,0.0,0.0
01205,0.0,0.0,0.0,0.0,2.825,0.0,0.0
01206,0.0,0.0,0.0,0.0,0.0,0.0,0.15
01207,0.0,0.0,0.0,5.35,0.0,0.35,0.0
01208,0.0,0.05,0.0,0.0,0.0,0.0,0.0
01209,3.05,0.0,0.0,0.0,0.0,8.25,0.0
01210,0.0,0.0,1.06,0.3,0.0,0.0,0.0
01211,0.43,0.0,1.695,0.0,1.804,0.2,0.0
01213,0.25,0.0,0.0,0.0,0.0,0.0,9.7
01214,0.0,0.0,2.426,0.0,0.0,0.0,4.9
01215,5.35,0.0,0.0,0.0,15.75,0.0,0.0
01216,0.5,7.6,0.0,6.75,0.0,0.0,0.0
01217,0.6,0.0,30.0,0.0,0.0,0.0,0.0
01218,2.1,0.0,0.0,0.0,0.0,0.0,0.0
01219,8.5,3.55,0.0,21.7,11.85,0.5,0.0
01220,0.0,0.2,0.0,1.3,0.9,0.1,0.0
01221,0.0,0.0,0.3,0.1,3.1,3.6,0.5
01222,0.725,3.364,0.0,10.1,0.0,4.25,0.0
01223,0.335,0.0,30.363,0.2,1.825,0.0,0.0
01224,13.1,4.35,0.564,0.5,1.775,4.525,0.0
01225,0.62,0.0,0.0,0.74,0.0,0.0,1.14
01226,1.4,0.15,3.25,3.745,8.335,0.0,0.2
01227,0.15,0.0,0.4,0.25,3.52,2.783,0.0
01228,0.8,1.38,0.7,1.667,1.125,0.6,0.25
01229,4.1,0.45,0.507,5.9,0.6,0.4,1.4
01230,8.05,6.1,0.744,2.75,0.0,23.45,12.7
01231,0.0,2.65,0.0,2.05,0.35,0.0,2.35
01232,0.9,0.0,6.963,1.6,0.269,10.35,1.65
01233,0.475,2.01,1.013,0.0,0.255,1.05,0.463
01234,0.0,0.5,0.0,0.0,24.1,0.0,0.0
01235,0.0,0.0,0.0,0.0,0.0,0.0,1.76
01237,0.852,0.0,0.0,0.0,0.0,0.0,0.0
01238,0.65,0.45,3.2,6.55,2.008,0.0,0.133
01239,0.15,0.0,1.075,3.5,0.3,0.0,0.0
01240,0.733,0.5,8.963,0.35,4.757,5.5,0.0
01241,0.0,0.0,0.45,2.7,2.754,0.0,0.0
01242,0.175,1.65,0.0,0.0,3.3,0.3,0.55
01243,9.9,0.383,9.45,0.464,0.4,0.0,1.15
01244,1.518,0.207,6.95,0.0,0.0,0.0,0.0
01246,0.0,0.0,0.0,0.363,0.0,0.0,0.0
01248,0.0,0.0,0.0,0.0,0.0,0.0,0.431
01250,0.0,0.0,0.0,0.3,2.6,0.0,0.0
01251,0.0,0.0,0.15,0.0,2.25,0.5,0.0
01252,0.0,0.55,0.0,0.0,0.0,0.4,0.0
01253,0.0,0.0,0.0,0.05,0.0,0.0,0.0
01254,10.45,0.0,0.0,0.2,0.0,0.0,0.0
01255,1.9,0.0,0.0,0.7,0.0,0.0,0.0
01256,0.0,0.0,0.0,0.0,1.2,0.0,0.0
01257,2.125,0.658,4.8,0.5,0.0,0.475,5.5
01258,3.375,0.463,2.35,15.642,0.0,2.195,1.2
01259,0.25,0.75,0.0,0.25,0.0,0.3,0.0
01301,4.725,0.533,1.55,0.55,0.0,0.0,0.68
01302,1.1,0.0,6.65,0.0,0.5,7.95,0.0
01303,2.05,3.55,0.0,0.0,0.4,1.85,0.43
01304,0.0,0.313,0.0,12.9,0.7,0.0,0.473
01305,0.4,0.0,0.15,0.0,0.0,0.0,0.0
01306,4.2,0.0,1.775,6.725,66.8,0.175,0.0
01307,6.001,3.285,3.138,4.677,8.575,3.3,10.008
01308,0.75,0.55,0.0,9.646,12.983,0.0,0.9
01309,0.0,0.35,19.825,0.45,1.1,0.4,0.175
01310,0.8,1.358,2.05,4.72,0.0,2.05,0.0
01311,5.6,12.75,6.307,0.292,13.74,9.6,5.3
01312,1.2,0.4,0.0,1.75,3.25,0.0,3.3
01313,14.266,8.946,0.0,13.25,1.833,0.0,0.0
01314,7.75,0.0,3.5,0.0,0.0,0.0,1.65
01315,0.292,4.438,1.25,1.175,1.85,18.138,3.15
01316,1.9,0.9,0.0,0.85,0.0,7.225,0.15
01317,22.7,1.179,4.575,2.7,0.05,1.11,3.75
01318,0.0,0.0,0.0,1.85,9.2,1.45,0.0
01319,0.584,0.1,0.0,1.8,0.0,0.0,0.545
01320,0.0,0.0,0.0,0.0,0.0,0.2,0.0
01321,1.0,0.0,10.65,1.3,0.2,0.8,0.0
01322,0.0,24.75,0.3,3.89,0.6,0.0,8.25
01323,1.357,0.217,0.0,6.35,0.35,11.7,0.0
01324,0.0,0.0,0.0,0.0,0.0,2.05,0.0
01325,0.0,0.0,0.0,0.75,2.7,0.0,0.0
01326,0.0,0.0,0.0,0.0,1.7,0.2,0.0
01327,0.0,27.55,0.6,2.0,0.0,0.5,8.342
01328,0.35,0.0,0.4,0.0,3.4,0.0,0.0
01329,2.175,0.933,0.3,2.385,27.327,0.1,0.0
01330,0.3,0.35,1.35,0.0,0.0,0.0,0.0
01331,1.1,0.2,7.05,0.3,0.0,0.0,0.0
01332,0.0,0.0,0.0,0.1,0.0,0.0,0.0
01333,0.0,0.0,0.0,0.7,0.688,0.0,0.6
01401,0.25,21.375,2.1,0.0,0.0,1.11,1.5
01402,0.0,0.35,0.0,0.0,1.15,0.0,0.0
01403,12.3,0.0,0.15,3.905,0.6,0.2,1.7
01404,3.15,0.0,16.55,1.785,0.0,2.15,0.0
01405,5.7,0.226,0.643,9.75,0.0,0.0,0.75
01406,0.0,0.0,0.0,1.925,0.0,2.0,0.0
01407,0.0,0.0,0.0,9.495,0.65,7.6,5.25
01408,0.0,4.2,1.75,1.0,0.0,0.125,0.0
01409,7.55,2.6,0.075,3.364,1.55,0.0,6.017
01410,0.0,1.45,3.142,0.625,0.0,0.18,0.0
01411,0.075,0.3,3.438,0.0,0.0,0.0,3.2
01412,0.0,0.0,0.0,0.0,0.0,0.175,0.0
01413,0.0,0.0,0.0,0.0,0.0,0.95,4.225
01414,0.2,0.0,0.0,22.7,0.15,0.0,0.0
01415,3.96,5.417,9.1,11.992,12.918,0.93,0.9
01416,0.0,1.85,2.863,6.25,2.1,0.85,0.0
01417,0.0,0.0,5.9,0.0,1.025,0.0,0.0
01418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01419,1.9,1.6,0.974,7.55,1.8,1.1,0.4
01420,0.75,0.1,5.547,0.0,1.15,0.0,2.667
01421,1.3,1.334,3.693,1.6,1.85,0.0,0.0
01422,1.275,0.517,0.717,0.25,0.4,0.2,0.3
