prefix,city,lat,lng,n_orders,kg
01003,sao paulo,-23.548977,-46.635313,1,0.5
01004,sao paulo,-23.549535,-46.634771,2,0.65
01005,sao paulo,-23.549612,-46.636532,6,3.015
01006,sao paulo,-23.550317,-46.636225,2,5.85
01007,sao paulo,-23.550349,-46.637342,4,0.806
01008,sao paulo,-23.545396,-46.635599,4,5.551
01009,sao paulo,-23.546935,-46.636588,7,8.025
01011,sao paulo,-23.54669,-46.635447,5,2.674
01012,sao paulo,-23.547742,-46.634881,2,0.765
01013,sao paulo,-23.547308,-46.634236,3,0.867
01014,sao paulo,-23.546066,-46.633582,3,0.772
01015,sao paulo,-23.547973,-46.631701,2,2.613
01016,sao paulo,-23.549251,-46.632136,1,2.6
01017,sao paulo,-23.54969,-46.631114,3,31.15
01019,sao paulo,-23.551664,-46.630932,1,0.15
01020,sao paulo,-23.552494,-46.629609,6,76.21
01021,sao paulo,-23.544185,-46.632143,2,2.72
01022,sao paulo,-23.544498,-46.631462,1,0.34
01023,sao paulo,-23.542093,-46.631377,1,0.667
01024,sao paulo,-23.54139,-46.629899,2,1.147
01025,sao paulo,-23.540411,-46.631265,1,0.7
01026,sao paulo,-23.53944,-46.632844,4,2.85
01027,sao paulo,-23.538015,-46.630439,3,2.15
01030,sao paulo,-23.538399,-46.632972,3,2.85
01031,sao paulo,-23.542521,-46.635335,4,4.741
01032,sao paulo,-23.540742,-46.635251,2,23.1
01033,sao paulo,-23.540035,-46.63581,6,35.115
01035,sao paulo,-23.540984,-46.642569,7,18.134
01036,sao paulo,-23.5417,-46.641318,3,1.301
01037,sao paulo,-23.54541,-46.638819,3,19.988
01038,sao paulo,-23.54414,-46.640411,2,0.9
01041,sao paulo,-23.543713,-46.640263,2,15.975
01042,sao paulo,-23.54488,-46.640328,5,6.022
01043,sao paulo,-23.545782,-46.641377,1,1.875
01044,sao paulo,-23.545663,-46.641385,3,2.0
01045,sao paulo,-23.542393,-46.642803,1,2.0
01046,sao paulo,-23.546081,-46.64381,18,16.546
01047,sao paulo,-23.546273,-46.641225,6,40.617
01048,sao paulo,-23.547162,-46.639559,7,32.15
01049,sao paulo,-23.547757,-46.640216,2,1.842
01050,sao paulo,-23.548986,-46.643139,7,9.875
01102,sao paulo,-23.52261,-46.629424,1,0.25
01103,sao paulo,-23.535453,-46.631706,6,6.81
01105,sao paulo,-23.53422,-46.629573,2,12.663
01106,sao paulo,-23.531047,-46.628654,2,1.633
01107,sao paulo,-23.527488,-46.627174,3,1.195
01108,sao paulo,-23.527562,-46.629437,1,0.1
01120,sao paulo,-23.530535,-46.639343,3,4.652
01121,sao paulo,-23.528535,-46.635686,4,21.15
01122,sao paulo,-23.531281,-46.639498,7,38.831
01123,sao paulo,-23.529349,-46.636758,6,6.117
01124,sao paulo,-23.528344,-46.632985,1,0.15
01125,sao paulo,-23.526997,-46.640197,3,0.62
01127,sao paulo,-23.525865,-46.640098,3,4.863
01129,sao paulo,-23.524373,-46.645552,5,17.495
01131,sao paulo,-23.522385,-46.645863,8,28.281
01132,sao paulo,-23.520905,-46.648407,3,33.35
01134,sao paulo,-23.518677,-46.653116,3,0.528
01135,sao paulo,-23.526908,-46.650894,7,4.125
01136,sao paulo,-23.52351,-46.663621,1,0.1
01137,sao paulo,-23.523145,-46.652822,4,4.867
01138,sao paulo,-23.522504,-46.65542,5,10.632
01139,sao paulo,-23.52076,-46.66429,5,9.125
01140,sao paulo,-23.51878,-46.668708,6,8.029
01141,sao paulo,-23.520119,-46.66584,5,10.237
01144,sao paulo,-23.523755,-46.672016,2,8.3
01150,sao paulo,-23.532869,-46.657464,5,20.45
01151,sao paulo,-23.531294,-46.656404,8,16.192
01152,sao paulo,-23.529763,-46.655658,5,16.975
01153,sao paulo,-23.528899,-46.653737,8,16.67
01154,sao paulo,-23.531052,-46.658977,9,40.985
01155,sao paulo,-23.528993,-46.663321,4,31.017
01156,sao paulo,-23.529571,-46.66511,5,4.75
01201,sao paulo,-23.5356,-46.649356,7,14.718
01202,sao paulo,-23.532546,-46.649175,8,21.446
01203,sao paulo,-23.535415,-46.645784,5,2.2
01204,sao paulo,-23.537402,-46.643338,5,4.342
01205,sao paulo,-23.540422,-46.639695,1,2.825
01206,sao paulo,-23.536609,-46.642445,2,0.3
01207,sao paulo,-23.539369,-46.638486,3,6.85
01208,sao paulo,-23.538629,-46.638799,1,0.05
01209,sao paulo,-23.54073,-46.641937,4,11.417
01210,sao paulo,-23.540014,-46.642552,6,6.043
01211,sao paulo,-23.537753,-46.648289,6,4.129
01213,sao paulo,-23.536418,-46.640065,2,9.95
01214,sao paulo,-23.539691,-46.646262,6,10.126
01215,sao paulo,-23.536106,-46.647688,3,21.7
01216,sao paulo,-23.533622,-46.647678,5,16.75
01217,sao paulo,-23.533272,-46.649407,3,30.6
01218,sao paulo,-23.531512,-46.64923,4,2.7
01219,sao paulo,-23.541468,-46.645337,7,46.1
01220,sao paulo,-23.544387,-46.646171,8,23.213
01221,sao paulo,-23.545862,-46.648653,10,9.0
01222,sao paulo,-23.545495,-46.650239,18,26.289
01223,sao paulo,-23.543859,-46.648253,11,62.723
01224,sao paulo,-23.541701,-46.652571,22,35.347
01225,sao paulo,-23.539684,-46.649155,5,3.0
01226,sao paulo,-23.537964,-46.652443,14,40.48
01227,sao paulo,-23.54786,-46.658684,14,25.97
01228,sao paulo,-23.548028,-46.658855,12,8.322
01229,sao paulo,-23.539114,-46.656723,17,29.808
01230,sao paulo,-23.536611,-46.657585,25,79.344
01231,sao paulo,-23.537368,-46.659642,12,25.25
01232,sao paulo,-23.536767,-46.658948,12,37.582
01233,sao paulo,-23.535088,-46.661504,8,6.166
01234,sao paulo,-23.539588,-46.664315,5,57.1
01235,sao paulo,-23.536966,-46.664247,1,1.76
01237,sao paulo,-23.543437,-46.66858,1,0.852
01238,sao paulo,-23.542944,-46.653267,14,21.635
01239,sao paulo,-23.547162,-46.655439,10,28.505
01240,sao paulo,-23.543513,-46.658855,15,26.503
01241,sao paulo,-23.545614,-46.657142,6,7.304
01242,sao paulo,-23.546772,-46.657496,6,6.492
01243,sao paulo,-23.548284,-46.659313,10,22.556
01244,sao paulo,-23.54997,-46.660711,6,9.275
01246,sao paulo,-23.554529,-46.666491,1,0.363
01248,sao paulo,-23.547337,-46.66801,1,0.431
01250,sao paulo,-23.547755,-46.672018,2,2.9
01251,sao paulo,-23.547934,-46.674595,3,2.9
01252,sao paulo,-23.541831,-46.679131,5,4.41
01253,sao paulo,-23.544687,-46.679147,1,0.05
