part,instance,set,method,seed,holding_multiplier,time_limit_s,total_cost,truck_cost,van_cost,holding_cost,n_truck_trips,n_van_routes,n_visits,runtime_s,iterations,rejected,lp_calls,lp_rescues,status,objective,bound,gap,solution_file
compare,large_k5_n200_T7_s1,large,alns,1,1.0,120.0,60165.61241664829,32437.142868000003,27447.031776199998,281.43777244828766,10,36,660,120.0276159999994,5316,64,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s1__h1.json
compare,large_k5_n200_T7_s1,large,alns,2,1.0,120.0,60168.48204151719,32437.142868000003,27448.565077199997,282.77409631719183,10,35,653,120.00896410000132,5238,36,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s2__h1.json
compare,large_k5_n200_T7_s1,large,alns,3,1.0,120.0,60155.03685856376,32437.142868000003,27434.817142,283.0768485637672,10,35,660,120.00659499999892,5228,33,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s3__h1.json
compare,large_k5_n200_T7_s1,large,alns,4,1.0,120.0,59983.0370422552,32437.142868000003,27262.306840399997,283.58733385520554,10,35,660,120.00192290000268,5267,38,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s4__h1.json
compare,large_k5_n200_T7_s1,large,alns,5,1.0,120.0,60077.19329184719,32437.142868000003,27369.602066999996,270.4483568471918,10,36,653,120.00015559999883,5086,32,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s5__h1.json
compare,large_k5_n200_T7_s1,large,alns,6,1.0,120.0,60005.00025453486,32437.142868000003,27304.0245754,263.83281113486305,10,35,662,120.0127130999972,5102,30,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s6__h1.json
compare,large_k5_n200_T7_s1,large,alns,7,1.0,120.0,60057.55886019389,32437.142868000003,27339.82416679999,280.5918253939042,10,36,660,120.02427159999934,5348,59,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s7__h1.json
compare,large_k5_n200_T7_s1,large,alns,8,1.0,120.0,60216.98838379658,32437.142868000003,27523.54548740001,256.3000283965754,10,35,659,120.0002300999986,5172,46,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s8__h1.json
compare,large_k5_n200_T7_s1,large,alns,9,1.0,120.0,60177.15813895124,32437.142868000003,27469.0714846,270.94378635123286,10,35,664,120.0254602999994,5184,42,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s9__h1.json
compare,large_k5_n200_T7_s1,large,alns,10,1.0,120.0,60042.06721869479,32437.142868000003,27361.44968479999,243.47466589479453,10,36,659,120.00507940000534,5189,42,,,,,,,solutions/compare/large_k5_n200_T7_s1__alns__s10__h1.json
compare,large_k5_n200_T7_s1,large,greedy,,1.0,,66695.7933976402,32437.142868000003,33930.656785,327.9937446402055,10,37,639,0.0116704999963985,,,,,,,,,solutions/compare/large_k5_n200_T7_s1__greedy__det__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,1,1.0,120.0,60065.51003390568,32437.142868000003,27348.207539799994,280.159626105685,10,36,661,120.1681116999971,4481,2,134,132,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s1__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,2,1.0,120.0,59944.16433516884,32437.142868000003,27234.9264654,272.0950017688357,10,36,645,120.1378704999952,4363,1,191,190,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s2__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,3,1.0,120.0,59998.61553895857,32437.142868000003,27304.880834400006,256.5918365585617,10,36,648,120.2406861000054,4834,0,304,304,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s3__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,4,1.0,120.0,60079.32912909,32437.142868000003,27363.329471999998,278.85678909000006,10,35,655,120.18310439999914,4721,1,430,429,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s4__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,5,1.0,120.0,60086.17272913391,32437.142868000003,27376.1614092,272.8684519339041,10,35,657,120.12407059999532,4790,0,220,220,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s5__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,6,1.0,120.0,60157.57049738102,32437.142868000003,27467.26736679999,253.1602625810274,10,36,657,120.16691790000186,4873,0,153,153,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s6__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,7,1.0,120.0,59969.488071503845,32437.142868000003,27259.164569000004,273.1806345038357,10,36,654,120.16998299999976,4514,0,134,134,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s7__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,8,1.0,120.0,60081.27648824857,32437.142868000003,27379.63025380001,264.5033664485617,10,35,657,120.13342739999644,4515,1,116,115,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s8__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,9,1.0,120.0,60085.85015259417,32437.142868000003,27378.83771639999,269.8695681941781,10,36,656,120.13936850000027,4321,0,311,311,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s9__h1.json
compare,large_k5_n200_T7_s1,large,matheuristic,10,1.0,120.0,60000.80708205712,32437.142868000003,27314.873177800004,248.79103625712332,10,36,663,120.13631909999822,4347,2,222,220,,,,,solutions/compare/large_k5_n200_T7_s1__matheuristic__s10__h1.json
compare,large_k5_n200_T7_s2,large,alns,1,1.0,120.0,55445.32688433795,29039.246204800005,26104.4933336,301.5873459379453,9,36,652,120.01291140000104,5488,36,,,,,,,solutions/compare/large_k5_n200_T7_s2__alns__s1__h1.json
compare,large_k5_n200_T7_s2,large,alns,2,1.0,120.0,58858.00897112837,32428.062540000006,26132.857410800007,297.08902032835624,10,36,649,120.00903939999988,5547,31,,,,,,,solutions/compare/large_k5_n200_T7_s2__alns__s2__h1.json
compare,large_k5_n200_T7_s2,large,alns,3,1.0,120.0,55522.76005190481,29039.246204800005,26196.7303496,286.7834975047946,9,37,649,120.00289869999688,5372,24,,,,,,,solutions/compare/large_k5_n200_T7_s2__alns__s3__h1.json
compare,large_k5_n200_T7_s2,large,alns,4,1.0,120.0,55516.705823335,29039.246204800005,26173.7706606,303.6889579350001,9,36,648,120.0163601000022,5335,37,,,,,,,solutions/compare/large_k5_n200_T7_s2__alns__s4__h1.json
compare,large_k5_n200_T7_s2,large,alns,5,1.0,120.0,55512.43254762815,29039.246204800005,26168.0556296,305.13071322815074,9,36,649,120.00678730000072,5345,28,,,,,,,solutions/compare/large_k5_n200_T7_s2__alns__s5__h1.json
compare,large_k5_n200_T7_s2,large,alns,6,1.0,120.0,55504.19110754385,29039.246204800005,26158.72041520001,306.22448754383566,9,36,646,120.01327960000344,5381,27,,,,,,,solutions/compare/large_k5_n200_T7_s2__alns__s6__h1.json
compare,large_k5_n200_T7_s2,large,alns,7,1.0,120.0,55549.28489875035,29039.246204800005,26204.8150276,305.22366635034246,9,36,650,120.02071589999832,4841,53,,,,,,,solutions/compare/large_k5_n200_T7_s2__alns__s7__h1.json
