part,instance,set,method,seed,holding_multiplier,time_limit_s,total_cost,truck_cost,van_cost,holding_cost,n_truck_trips,n_van_routes,n_visits,runtime_s,iterations,rejected,lp_calls,lp_rescues,status,objective,bound,gap,solution_file
sensitivity,medium_k3_n80_T7_s1,medium,alns,1,1,60.0,36878.816778142056,18044.1774432,18724.7673944,109.87194054205484,6,21,261,60.00254959999438,4881,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s1__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,2,1,60.0,36814.36808232274,18044.1774432,18673.869766400003,96.32087272273976,6,21,261,60.01059560000431,4931,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s2__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,3,1,60.0,36912.26078758576,18044.1774432,18771.897482799995,96.18586158575344,6,21,265,60.0130835999953,4941,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s3__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,4,1,60.0,36824.4438511896,18044.1774432,18684.025396400004,96.24101158958904,6,21,261,60.008836100001645,4998,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s4__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,5,1,60.0,36829.822031656986,18044.1774432,18676.761134,108.88345445698631,6,21,262,60.00222589999612,4731,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s5__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,6,1,60.0,36893.02967861267,18044.1774432,18749.7940528,99.05818261267126,6,21,260,60.00135849999788,4831,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s6__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,7,1,60.0,36804.900858243294,18044.1774432,18665.0244118,95.69900324328768,6,21,261,60.01383930000157,4834,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s7__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,8,1,60.0,36885.3760267124,18044.1774432,18747.2173106,93.98127291239727,6,21,261,60.0036970000001,4962,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s8__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,9,1,60.0,36829.04396332274,18044.1774432,18688.5456474,96.32087272273972,6,21,262,60.00761559999955,4783,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s9__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,10,1,60.0,36812.06423385172,18044.1774432,18674.6543386,93.23245205171236,6,21,263,60.0035515999989,4941,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s10__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,greedy,,1,,40239.55795085816,18044.1774432,22059.999747,135.3807606581507,6,21,259,0.0063092999989748,,,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__greedy__det__h1.json
sensitivity,medium_k3_n80_T7_s1,medium,alns,1,10,60.0,37639.89937264931,18044.1774432,18676.681482,919.040447449315,6,21,264,60.00258819999726,4899,0,,,,,,,solutions/sensitivity/medium_k3_n80_T7_s1__alns__s1__h10.json
