part,instance,set,method,seed,holding_multiplier,time_limit_s,total_cost,truck_cost,van_cost,holding_cost,n_truck_trips,n_van_routes,n_visits,runtime_s,iterations,rejected,lp_calls,lp_rescues,status,objective,bound,gap,solution_file
small,small_k1_n10_T3_s1,small,alns,1,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.000516200001584,8146,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s1__h1.json
small,small_k1_n10_T3_s1,small,alns,2,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,15,10.000980500000878,8076,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s2__h1.json
small,small_k1_n10_T3_s1,small,alns,3,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.000428300001658,8145,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s3__h1.json
small,small_k1_n10_T3_s1,small,alns,4,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,14,10.002134199996362,8358,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s4__h1.json
small,small_k1_n10_T3_s1,small,alns,5,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.1432170305479457,1,3,15,10.000344899999618,8254,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s5__h1.json
small,small_k1_n10_T3_s1,small,alns,6,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.000275599995804,6971,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s6__h1.json
small,small_k1_n10_T3_s1,small,alns,7,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.1432170305479457,1,3,15,10.001023799995892,6968,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s7__h1.json
small,small_k1_n10_T3_s1,small,alns,8,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.000219900000957,6589,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s8__h1.json
small,small_k1_n10_T3_s1,small,alns,9,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,14,10.00081240000145,6711,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s9__h1.json
small,small_k1_n10_T3_s1,small,alns,10,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,14,10.002018600003794,7876,0,,,,,,,solutions/small/small_k1_n10_T3_s1__alns__s10__h1.json
small,small_k1_n10_T3_s1,small,greedy,,1.0,,4712.369934430548,3249.7200476000003,1461.5066697999998,1.1432170305479454,1,3,14,0.000330800001393,,,,,,,,,solutions/small/small_k1_n10_T3_s1__greedy__det__h1.json
small,small_k1_n10_T3_s1,small,gurobi,,1.0,600.0,4584.277570630548,3249.7200476000003,1333.414306,1.1432170305479454,1,3,16,111.61578510000254,,,,,optimal,4584.277570630548,4584.277408976889,3.5262624643270075e-08,solutions/small/small_k1_n10_T3_s1__gurobi__det__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,1,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.004856800005657,7860,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s1__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,2,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,15,10.00627180000447,7932,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s2__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,3,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.005504799999471,7842,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s3__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,4,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,14,10.004597500003,7970,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s4__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,5,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.1432170305479457,1,3,15,10.009225900001184,8180,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s5__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,6,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.008481500000926,6784,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s6__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,7,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.1432170305479457,1,3,15,10.012716099998215,6803,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s7__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,8,1.0,10.0,4584.277570630548,3249.7200476000003,1333.4143060000004,1.143217030547946,1,3,14,10.00589570000011,6372,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s8__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,9,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,14,10.00718689999485,6310,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s9__h1.json
small,small_k1_n10_T3_s1,small,matheuristic,10,1.0,10.0,4584.277570630548,3249.7200476000003,1333.414306,1.143217030547946,1,3,14,10.015296699995815,7037,0,0,0,,,,,solutions/small/small_k1_n10_T3_s1__matheuristic__s10__h1.json
small,small_k1_n10_T3_s2,small,alns,1,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.001248600005056,7247,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s1__h1.json
small,small_k1_n10_T3_s2,small,alns,2,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.001980499997444,7182,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s2__h1.json
small,small_k1_n10_T3_s2,small,alns,3,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.000961700003243,7340,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s3__h1.json
small,small_k1_n10_T3_s2,small,alns,4,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.00238459999673,7344,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s4__h1.json
small,small_k1_n10_T3_s2,small,alns,5,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.000344500003848,7260,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s5__h1.json
small,small_k1_n10_T3_s2,small,alns,6,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.000892999996722,7091,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s6__h1.json
small,small_k1_n10_T3_s2,small,alns,7,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.001508599998488,6996,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s7__h1.json
small,small_k1_n10_T3_s2,small,alns,8,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.00093249999918,7081,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s8__h1.json
small,small_k1_n10_T3_s2,small,alns,9,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.000643699997454,7088,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s9__h1.json
small,small_k1_n10_T3_s2,small,alns,10,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.00014949999604,7124,0,,,,,,,solutions/small/small_k1_n10_T3_s2__alns__s10__h1.json
small,small_k1_n10_T3_s2,small,greedy,,1.0,,5300.263279174795,3246.1516380000003,2052.5284924,1.5831487747945203,1,3,17,0.0003704999980982,,,,,,,,,solutions/small/small_k1_n10_T3_s2__greedy__det__h1.json
small,small_k1_n10_T3_s2,small,gurobi,,1.0,600.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945212,1,3,17,8.0542390000046,,,,,optimal,5054.289937974796,5054.289937974794,0.0,solutions/small/small_k1_n10_T3_s2__gurobi__det__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,1,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.009733499995493,6756,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s1__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,2,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.006952199997611,7100,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s2__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,3,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.006375700002536,7236,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s3__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,4,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.00670320000063,7699,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s4__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,5,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.00648579999688,7666,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s5__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,6,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.00598980000359,7487,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s6__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,7,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.00782949999848,7637,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s7__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,8,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.008263100004116,7379,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s8__h1.json
small,small_k1_n10_T3_s2,small,matheuristic,9,1.0,10.0,5054.289937974795,3246.1516380000003,1806.5551512,1.5831487747945203,1,3,17,10.006519299997308,7490,0,0,0,,,,,solutions/small/small_k1_n10_T3_s2__matheuristic__s9__h1.json
