instance,method,reference_kind,reference_cost,n_runs,best_gap_pct,mean_gap_pct,max_gap_pct,mean_van_gap_pct,mean_truck_trips
small_k1_n10_T3_s1,alns,optimum,4584.277570630548,10,0.0,0.0,0.0,1.364159207952773e-14,1.0
small_k1_n10_T3_s1,greedy,optimum,4584.277570630548,1,2.794166841480781,2.794166841480781,2.794166841480781,9.60634389653833,1.0
small_k1_n10_T3_s1,gurobi,optimum,4584.277570630548,1,0.0,0.0,0.0,0.0,1.0
small_k1_n10_T3_s1,matheuristic,optimum,4584.277570630548,10,0.0,0.0,0.0,1.364159207952773e-14,1.0
small_k1_n10_T3_s2,alns,optimum,5054.289937974795,10,0.0,0.0,0.0,0.0,1.0
small_k1_n10_T3_s2,greedy,optimum,5054.289937974795,1,4.866625069367483,4.866625069367483,4.866625069367483,13.615600998209914,1.0
small_k1_n10_T3_s2,gurobi,optimum,5054.289937974795,1,0.0,0.0,0.0,0.0,1.0
small_k1_n10_T3_s2,matheuristic,optimum,5054.289937974795,10,0.0,0.0,0.0,0.0,1.0
small_k1_n6_T3_s1,alns,optimum,4205.486942238973,10,0.0,0.0,0.0,0.0,1.0
small_k1_n6_T3_s1,greedy,optimum,4205.486942238973,1,4.690495552816557,4.690495552816557,4.690495552816557,20.65531520936806,1.0
small_k1_n6_T3_s1,gurobi,optimum,4205.486942238973,1,0.0,0.0,0.0,0.0,1.0
small_k1_n6_T3_s1,matheuristic,optimum,4205.486942238973,10,0.0,0.0,0.0,0.0,1.0
small_k1_n6_T3_s2,alns,optimum,4901.820632158972,10,0.0,0.0,0.0,0.0,1.0
small_k1_n6_T3_s2,greedy,optimum,4901.820632158972,1,1.8554222400674578e-14,1.8554222400674578e-14,1.8554222400674578e-14,2.7541779596285178e-14,1.0
small_k1_n6_T3_s2,gurobi,optimum,4901.820632158972,1,0.0,0.0,0.0,0.0,1.0
small_k1_n6_T3_s2,matheuristic,optimum,4901.820632158972,10,0.0,0.0,0.0,0.0,1.0
small_k1_n8_T3_s1,alns,optimum,4577.858395729521,10,0.0,0.0,0.0,-5.1387575841506764e-15,1.0
small_k1_n8_T3_s1,greedy,optimum,4577.858395729521,1,2.277612285541342,2.277612285541342,2.277612285541342,7.782154869022278,1.0
small_k1_n8_T3_s1,gurobi,optimum,4577.858395729521,1,0.0,0.0,0.0,0.0,1.0
small_k1_n8_T3_s1,matheuristic,optimum,4577.858395729521,10,0.0,0.0,0.0,-5.1387575841506764e-15,1.0
small_k1_n8_T3_s2,alns,optimum,5019.579142341439,10,0.0,0.0,0.0,-7.714130837349362e-15,1.0
small_k1_n8_T3_s2,greedy,optimum,5019.579142341439,1,4.340683894434314,4.340683894434314,4.340683894434314,12.320292936026062,1.0
small_k1_n8_T3_s2,gurobi,optimum,5019.579142341439,1,0.0,0.0,0.0,0.0,1.0
small_k1_n8_T3_s2,matheuristic,optimum,5019.579142341439,10,0.0,0.0,0.0,-7.714130837349362e-15,1.0
small_k2_n10_T3_s1,alns,optimum,7279.778660855275,10,0.0,0.0,0.0,0.0,2.0
small_k2_n10_T3_s1,greedy,optimum,7279.778660855275,1,1.2359018150344405,1.2359018150344405,1.2359018150344405,5.767851079094444,2.0
small_k2_n10_T3_s1,gurobi,optimum,7279.778660855275,1,0.0,0.0,0.0,0.0,2.0
small_k2_n10_T3_s1,matheuristic,optimum,7279.778660855275,10,0.0,0.0,0.0,0.0,2.0
small_k2_n10_T3_s2,alns,optimum,8865.160189479453,10,0.0,0.0,0.0,0.0,2.0
small_k2_n10_T3_s2,greedy,optimum,8865.160189479453,1,0.11055839252213386,0.11055839252213386,0.11055839252213386,0.3119806397061026,2.0
small_k2_n10_T3_s2,gurobi,optimum,8865.160189479453,1,0.0,0.0,0.0,0.0,2.0
small_k2_n10_T3_s2,matheuristic,optimum,8865.160189479453,10,0.0,0.0,0.0,0.0,2.0
