holding_multiplier,method,n_runs,total_cost,truck_cost,van_cost,holding_cost,n_truck_trips,n_visits
1.0,alns,10,36848.412629164,18044.1774432,18705.65569352,98.57949244399317,6.0,261.7
1.0,greedy,1,40239.55795085816,18044.1774432,22059.999747,135.3807606581507,6.0,259.0
10.0,alns,10,37683.75258455288,18044.1774432,18695.0034333,944.5717080528768,6.0,262.1
10.0,greedy,1,41457.98479678151,18044.1774432,22059.999747,1353.8076065815071,6.0,259.0
100.0,alns,10,45786.26866888521,18044.1774432,19059.233709340002,8682.857516345208,6.0,270.7
100.0,greedy,1,53642.25325601507,18044.1774432,22059.999747,13538.076065815072,6.0,259.0
1000.0,alns,10,85979.29470596246,38148.92951648,22044.383574140003,25785.98161534247,13.0,353.8
1000.0,greedy,1,175484.93784835067,18044.1774432,22059.999747,135380.76065815068,6.0,259.0
10000.0,alns,10,216300.194266146,53138.96579951999,26076.9954719,137084.23299472604,17.7,431.1
10000.0,greedy,1,1393911.783771707,18044.1774432,22059.999747,1353807.606581507,6.0,259.0
