part,set,instance,holding_multiplier,method,n_runs,best,mean,std,reference_kind,mean_gap_pct,mean_runtime_s,mean_iterations,mean_lp_rescues
compare,large,large_k5_n200_T7_s1,1.0,alns,10,59983.0370422552,60104.8134507003,81.52347368845723,best known,0.2679979232560731,120.01130081000011,5213.0,
compare,large,large_k5_n200_T7_s1,1.0,greedy,1,66695.7933976402,66695.7933976402,,best known,11.263196571930894,0.0116704999963985,,
compare,large,large_k5_n200_T7_s1,1.0,matheuristic,10,59944.16433516884,60046.87840580418,65.73542124165327,best known,0.1713495746825712,120.15998591999887,4575.9,220.8
compare,large,large_k5_n200_T7_s2,1.0,alns,10,55445.32688433795,55866.1852711113,1052.6548270362075,best known,0.7590511417694288,120.01172003000029,5210.1,
compare,large,large_k5_n200_T7_s2,1.0,greedy,1,60569.48842709502,60569.48842709502,,best known,9.241827635801227,0.0177505999963614,,
compare,large,large_k5_n200_T7_s2,1.0,matheuristic,10,55496.9960663013,55579.86305366976,93.95404347051212,best known,0.24264654370685163,120.29093946999929,4132.6,201.2
compare,large,large_k5_n200_T7_s3,1.0,alns,10,61836.469822749736,61908.46966519028,38.82797688968421,best known,0.19156139548968057,120.01406204999948,5167.3,
compare,large,large_k5_n200_T7_s3,1.0,greedy,1,67542.30816081248,67542.30816081248,,best known,9.309264975938387,0.0175139999992097,,
compare,large,large_k5_n200_T7_s3,1.0,matheuristic,10,61790.10368030576,61887.99654635189,61.75826534459198,best known,0.15842806568607495,120.15083814999961,5261.9,180.5
compare,medium,medium_k3_n40_T7_s1,1.0,alns,10,30975.81425080369,30978.31294233713,1.7462111907049602,best known,0.008066588704350966,60.002852329999584,11866.2,
compare,medium,medium_k3_n40_T7_s1,1.0,greedy,1,32630.767491149112,32630.767491149112,,best known,5.342727157858271,0.0030123000033199,,
compare,medium,medium_k3_n40_T7_s1,1.0,matheuristic,10,30977.01370064315,30978.79059272179,1.7076344980153781,best known,0.009608599451187463,60.03478051000129,10276.7,0.0
compare,medium,medium_k3_n40_T7_s2,1.0,alns,10,28823.584168030004,28841.947441447264,13.217362886993905,best known,0.06370919490861338,60.00263316999845,12249.7,
compare,medium,medium_k3_n40_T7_s2,1.0,greedy,1,30285.197274687187,30285.197274687187,,best known,5.070892981721363,0.0027121000020997,,
compare,medium,medium_k3_n40_T7_s2,1.0,matheuristic,10,28824.90076646158,28838.215946203058,13.297742438325104,best known,0.050763215593718714,60.03762046000047,9946.4,0.0
compare,medium,medium_k3_n80_T7_s1,1.0,alns,10,36812.43232958959,36840.23917880367,19.51674810480088,best known,0.07946751471068496,60.005288599999766,5594.4,
compare,medium,medium_k3_n80_T7_s1,1.0,greedy,1,40239.55795085816,40239.55795085816,,best known,9.313989879476217,0.0064219000050798,,
compare,medium,medium_k3_n80_T7_s1,1.0,matheuristic,10,36810.9864027689,36835.884263696105,13.272657384236618,best known,0.06763703817872498,60.09965624000106,4676.8,0.0
compare,medium,medium_k3_n80_T7_s2,1.0,alns,10,33214.56016999507,33718.196403555354,780.2109420304125,best known,1.5231984573903303,60.00841527999946,5059.4,
compare,medium,medium_k3_n80_T7_s2,1.0,greedy,1,39583.83479400987,39583.83479400987,,best known,19.18423712227605,0.0054946000018389,,
compare,medium,medium_k3_n80_T7_s2,1.0,matheuristic,10,33212.3070548324,33242.20640617415,18.72030331284282,best known,0.09002491543986177,60.075168520000446,4610.4,0.0
sensitivity,medium,medium_k3_n80_T7_s1,1.0,alns,10,36804.900858243294,36848.412629164,39.478183199417174,best known,0.11822276356154723,60.00673527999898,4883.3,
sensitivity,medium,medium_k3_n80_T7_s1,1.0,greedy,1,40239.55795085816,40239.55795085816,,best known,9.332064514570193,0.0063092999989748,,
sensitivity,medium,medium_k3_n80_T7_s1,10.0,alns,10,37635.88945762192,37683.75258455288,49.08870961853668,best known,0.12717416173956808,60.00760844999968,4855.0,
sensitivity,medium,medium_k3_n80_T7_s1,10.0,greedy,1,41457.98479678151,41457.98479678151,,best known,10.155453728450546,0.0039895000008982,,
sensitivity,medium,medium_k3_n80_T7_s1,100.0,alns,10,45179.31167661643,45786.26866888521,373.80027944985136,best known,1.3434401050933225,60.005222159998084,4657.6,
