part,set,instance,holding_multiplier,method_a,method_b,n_pairs,n_nonzero,median_difference,statistic,p_value,verdict
compare,large,large_k5_n200_T7_s1,1.0,alns,matheuristic,10,10,89.68938750000001,14.0,0.193359375,no significant difference
compare,large,large_k5_n200_T7_s1,1.0,alns,greedy,10,10,-6579.6783225,0.0,0.001953125,a lower
compare,large,large_k5_n200_T7_s1,1.0,matheuristic,greedy,10,10,-6623.3738164999995,0.0,0.001953125,a lower
compare,large,large_k5_n200_T7_s2,1.0,alns,matheuristic,10,10,-20.9547245,22.0,0.625,no significant difference
compare,large,large_k5_n200_T7_s2,1.0,alns,greedy,10,10,-5037.8187505,0.0,0.001953125,a lower
compare,large,large_k5_n200_T7_s2,1.0,matheuristic,greedy,10,10,-5030.564848,0.0,0.001953125,a lower
compare,large,large_k5_n200_T7_s3,1.0,alns,matheuristic,10,10,6.8269275,21.0,0.556640625,no significant difference
compare,large,large_k5_n200_T7_s3,1.0,alns,greedy,10,10,-5634.3639005,0.0,0.001953125,a lower
compare,large,large_k5_n200_T7_s3,1.0,matheuristic,greedy,10,10,-5652.5065595,0.0,0.001953125,a lower
compare,medium,medium_k3_n40_T7_s1,1.0,alns,matheuristic,10,8,-0.5340065,8.0,0.1953125,no significant difference
compare,medium,medium_k3_n40_T7_s1,1.0,alns,greedy,10,10,-1652.781826,0.0,0.001953125,a lower
compare,medium,medium_k3_n40_T7_s1,1.0,matheuristic,greedy,10,10,-1652.5825585,0.0,0.001953125,a lower
compare,medium,medium_k3_n40_T7_s2,1.0,alns,matheuristic,10,9,3.374649,13.0,0.30078125,no significant difference
compare,medium,medium_k3_n40_T7_s2,1.0,alns,greedy,10,10,-1436.137705,0.0,0.001953125,a lower
compare,medium,medium_k3_n40_T7_s2,1.0,matheuristic,greedy,10,10,-1450.563947,0.0,0.001953125,a lower
compare,medium,medium_k3_n80_T7_s1,1.0,alns,matheuristic,10,10,2.9741955,23.0,0.6953125,no significant difference
compare,medium,medium_k3_n80_T7_s1,1.0,alns,greedy,10,10,-3399.1688944999996,0.0,0.001953125,a lower
compare,medium,medium_k3_n80_T7_s1,1.0,matheuristic,greedy,10,10,-3400.7305685,0.0,0.001953125,a lower
compare,medium,medium_k3_n80_T7_s2,1.0,alns,matheuristic,10,10,15.5590705,15.0,0.232421875,no significant difference
compare,medium,medium_k3_n80_T7_s2,1.0,alns,greedy,10,10,-6341.168204,0.0,0.001953125,a lower
compare,medium,medium_k3_n80_T7_s2,1.0,matheuristic,greedy,10,10,-6341.5965665,0.0,0.001953125,a lower
sensitivity,medium,medium_k3_n80_T7_s1,1.0,alns,greedy,10,10,-3410.1249535,0.0,0.001953125,a lower
